Data type,Cancer group/site,Year,Sex,Age group (years),Count,Yearly_Count,Population,PopAdjCount
Actual,Breast cancer,1982,Persons,All ages,"5,374",3,15178000,354.0650942
Actual,Colon cancer,1982,Persons,All ages,"4,563",4,15178000,300.6324944
Actual,Colorectal cancer,1982,Persons,All ages,"6,994",1,15178000,460.7985242
Actual,Gynaecological cancers,1982,Persons,All ages,"2,952",7,15178000,194.4920279
Actual,Lung cancer,1982,Persons,All ages,"5,949",2,15178000,391.9488734
Actual,Lymphoma,1982,Persons,All ages,"1,918",11,15178000,126.3671103
Actual,Melanoma of the skin,1982,Persons,All ages,"3,543",6,15178000,233.4299644
Actual,Non-Hodgkin lymphoma,1982,Persons,All ages,"1,591",13,15178000,104.8227698
Actual,Prostate cancer,1982,Persons,All ages,"3,606",5,15178000,237.5807089
Actual,Rectal cancer,1982,Persons,All ages,"2,431",8,15178000,160.1660298
Actual,Breast cancer,1983,Persons,All ages,"5,421",3,15369000,352.7230139
Actual,Colon cancer,1983,Persons,All ages,"4,744",4,15369000,308.6733034
Actual,Colorectal cancer,1983,Persons,All ages,"7,171",1,15369000,466.5885874
Actual,Gynaecological cancers,1983,Persons,All ages,"3,007",7,15369000,195.6535884
Actual,Lung cancer,1983,Persons,All ages,"6,121",2,15369000,398.2692433
Actual,Lymphoma,1983,Persons,All ages,"1,926",11,15369000,125.317197
Actual,Melanoma of the skin,1983,Persons,All ages,"3,797",5,15369000,247.0557616
Actual,Non-Hodgkin lymphoma,1983,Persons,All ages,"1,597",13,15369000,103.9104691
Actual,Prostate cancer,1983,Persons,All ages,"3,733",6,15369000,242.8915349
Actual,Rectal cancer,1983,Persons,All ages,"2,427",8,15369000,157.915284
Actual,Breast cancer,1984,Persons,All ages,"5,762",3,15544000,370.6896552
Actual,Colon cancer,1984,Persons,All ages,"5,022",4,15544000,323.0828616
Actual,Colorectal cancer,1984,Persons,All ages,"7,508",1,15544000,483.0159547
Actual,Gynaecological cancers,1984,Persons,All ages,"3,142",7,15544000,202.1358724
Actual,Lung cancer,1984,Persons,All ages,"6,340",2,15544000,407.874421
Actual,Lymphoma,1984,Persons,All ages,"2,015",11,15544000,129.6320124
Actual,Melanoma of the skin,1984,Persons,All ages,"4,045",5,15544000,260.2290273
Actual,Non-Hodgkin lymphoma,1984,Persons,All ages,"1,691",13,15544000,108.7879568
Actual,Prostate cancer,1984,Persons,All ages,"3,873",6,15544000,249.1636644
Actual,Rectal cancer,1984,Persons,All ages,"2,486",8,15544000,159.9330932
Actual,Breast cancer,1985,Persons,All ages,"5,980",3,15758000,379.489783
Actual,Colon cancer,1985,Persons,All ages,"5,442",4,15758000,345.3483945
Actual,Colorectal cancer,1985,Persons,All ages,"8,021",1,15758000,509.0112958
Actual,Gynaecological cancers,1985,Persons,All ages,"3,190",7,15758000,202.4368575
Actual,Lung cancer,1985,Persons,All ages,"6,313",2,15758000,400.6219063
Actual,Lymphoma,1985,Persons,All ages,"2,060",11,15758000,130.7272497
Actual,Melanoma of the skin,1985,Persons,All ages,"4,510",5,15758000,286.203833
Actual,Non-Hodgkin lymphoma,1985,Persons,All ages,"1,775",13,15758000,112.6411981
Actual,Prostate cancer,1985,Persons,All ages,"4,155",6,15758000,263.6755933
Actual,Rectal cancer,1985,Persons,All ages,"2,579",8,15758000,163.6629014
Actual,Breast cancer,1986,Persons,All ages,"6,138",3,16018400,383.184338
Actual,Colon cancer,1986,Persons,All ages,"5,531",4,16018400,345.290416
Actual,Colorectal cancer,1986,Persons,All ages,"8,067",1,16018400,503.6083504
Actual,Gynaecological cancers,1986,Persons,All ages,"3,219",7,16018400,200.9564001
Actual,Lung cancer,1986,Persons,All ages,"6,463",2,16018400,403.4735055
Actual,Lymphoma,1986,Persons,All ages,"2,121",11,16018400,132.4102282
Actual,Melanoma of the skin,1986,Persons,All ages,"4,713",5,16018400,294.2241422
Actual,Non-Hodgkin lymphoma,1986,Persons,All ages,"1,798",13,16018400,112.2459172
Actual,Prostate cancer,1986,Persons,All ages,"4,305",6,16018400,268.7534336
Actual,Rectal cancer,1986,Persons,All ages,"2,536",8,16018400,158.3179344
Actual,Breast cancer,1987,Persons,All ages,"6,761",3,16263900,415.70595
Actual,Colon cancer,1987,Persons,All ages,"5,594",4,16263900,343.9519426
Actual,Colorectal cancer,1987,Persons,All ages,"8,289",1,16263900,509.6563555
Actual,Gynaecological cancers,1987,Persons,All ages,"3,326",7,16263900,204.5019952
Actual,Lung cancer,1987,Persons,All ages,"6,879",2,16263900,422.9612823
Actual,Lymphoma,1987,Persons,All ages,"2,357",9,16263900,144.9221896
Actual,Melanoma of the skin,1987,Persons,All ages,"5,558",5,16263900,341.7384514
Actual,Non-Hodgkin lymphoma,1987,Persons,All ages,"2,037",12,16263900,125.246712
Actual,Prostate cancer,1987,Persons,All ages,"4,566",6,16263900,280.7444709
Actual,Rectal cancer,1987,Persons,All ages,"2,695",8,16263900,165.7044128
Actual,Breast cancer,1988,Persons,All ages,"6,796",2,16532200,411.0765657
Actual,Colon cancer,1988,Persons,All ages,"5,517",5,16532200,333.7123916
Actual,Colorectal cancer,1988,Persons,All ages,"8,302",1,16532200,502.1715198
Actual,Gynaecological cancers,1988,Persons,All ages,"3,281",7,16532200,198.4611848
Actual,Lung cancer,1988,Persons,All ages,"6,690",3,16532200,404.6648359
Actual,Lymphoma,1988,Persons,All ages,"2,402",10,16532200,145.2922176
Actual,Melanoma of the skin,1988,Persons,All ages,"6,016",4,16532200,363.8959122
Actual,Non-Hodgkin lymphoma,1988,Persons,All ages,"2,053",12,16532200,124.1818996
Actual,Prostate cancer,1988,Persons,All ages,"4,767",6,16532200,288.3463786
Actual,Rectal cancer,1988,Persons,All ages,"2,785",8,16532200,168.4591282
Actual,Breast cancer,1989,Persons,All ages,"7,249",2,16814400,431.118565
Actual,Colon cancer,1989,Persons,All ages,"5,883",4,16814400,349.8786754
Actual,Colorectal cancer,1989,Persons,All ages,"8,804",1,16814400,523.5988201
Actual,Gynaecological cancers,1989,Persons,All ages,"3,382",7,16814400,201.1371206
Actual,Lung cancer,1989,Persons,All ages,"6,945",3,16814400,413.0388239
Actual,Lymphoma,1989,Persons,All ages,"2,528",9,16814400,150.3473213
Actual,Melanoma of the skin,1989,Persons,All ages,"5,729",5,16814400,340.7198592
Actual,Non-Hodgkin lymphoma,1989,Persons,All ages,"2,191",11,16814400,130.3049767
Actual,Prostate cancer,1989,Persons,All ages,"5,317",6,16814400,316.2170521
Actual,Rectal cancer,1989,Persons,All ages,"2,921",8,16814400,173.7201446
Actual,Breast cancer,1990,Persons,All ages,"7,516",2,17065100,440.4310552
Actual,Colon cancer,1990,Persons,All ages,"5,879",5,17065100,344.5042807
Actual,Colorectal cancer,1990,Persons,All ages,"8,913",1,17065100,522.2940387
Actual,Gynaecological cancers,1990,Persons,All ages,"3,453",7,17065100,202.3427932
Actual,Lung cancer,1990,Persons,All ages,"7,149",3,17065100,418.9251748
Actual,Lymphoma,1990,Persons,All ages,"2,675",10,17065100,156.7526707
Actual,Melanoma of the skin,1990,Persons,All ages,"5,831",6,17065100,341.6915225
Actual,Non-Hodgkin lymphoma,1990,Persons,All ages,"2,312",11,17065100,135.4811867
Actual,Prostate cancer,1990,Persons,All ages,"6,137",4,17065100,359.622856
Actual,Rectal cancer,1990,Persons,All ages,"3,034",8,17065100,177.789758
Actual,Breast cancer,1991,Persons,All ages,"8,105",2,17284000,468.9308031
Actual,Colon cancer,1991,Persons,All ages,"6,438",5,17284000,372.4832215
Actual,Colorectal cancer,1991,Persons,All ages,"9,662",1,17284000,559.0141171
Actual,Gynaecological cancers,1991,Persons,All ages,"3,619",7,17284000,209.3844018
Actual,Lung cancer,1991,Persons,All ages,"7,164",3,17284000,414.4873872
Actual,Lymphoma,1991,Persons,All ages,"2,799",10,17284000,161.9416802
Actual,Melanoma of the skin,1991,Persons,All ages,"5,972",6,17284000,345.5218699
Actual,Non-Hodgkin lymphoma,1991,Persons,All ages,"2,486",11,17284000,143.8324462
Actual,Prostate cancer,1991,Persons,All ages,"6,754",4,17284000,390.7660264
Actual,Rectal cancer,1991,Persons,All ages,"3,224",8,17284000,186.5308956
Actual,Breast cancer,1992,Persons,All ages,"8,072",2,17495000,461.3889683
Actual,Colon cancer,1992,Persons,All ages,"6,419",6,17495000,366.90483
Actual,Colorectal cancer,1992,Persons,All ages,"9,748",1,17495000,557.1877679
Actual,Gynaecological cancers,1992,Persons,All ages,"3,602",7,17495000,205.8873964
Actual,Lung cancer,1992,Persons,All ages,"7,191",4,17495000,411.0317233
Actual,Lymphoma,1992,Persons,All ages,"3,023",9,17495000,172.7922264
Actual,Melanoma of the skin,1992,Persons,All ages,"6,565",5,17495000,375.2500714
Actual,Non-Hodgkin lymphoma,1992,Persons,All ages,"2,657",11,17495000,151.8719634
Actual,Prostate cancer,1992,Persons,All ages,"7,929",3,17495000,453.2152043
Actual,Rectal cancer,1992,Persons,All ages,"3,329",8,17495000,190.282938
Actual,Breast cancer,1993,Persons,All ages,"8,856",3,17667000,501.2735609
Actual,Colon cancer,1993,Persons,All ages,"6,559",6,17667000,371.2571461
Actual,Colorectal cancer,1993,Persons,All ages,"9,929",2,17667000,562.008264
Actual,Gynaecological cancers,1993,Persons,All ages,"3,643",7,17667000,206.2036565
Actual,Lung cancer,1993,Persons,All ages,"7,329",4,17667000,414.8412294
Actual,Lymphoma,1993,Persons,All ages,"3,056",9,17667000,172.9778683
Actual,Melanoma of the skin,1993,Persons,All ages,"6,773",5,17667000,383.3701251
Actual,Non-Hodgkin lymphoma,1993,Persons,All ages,"2,704",11,17667000,153.053716
Actual,Prostate cancer,1993,Persons,All ages,"11,193",1,17667000,633.5540839
Actual,Rectal cancer,1993,Persons,All ages,"3,370",8,17667000,190.7511179
Actual,Breast cancer,1994,Persons,All ages,"9,827",3,17855000,550.3780454
Actual,Colon cancer,1994,Persons,All ages,"6,755",6,17855000,378.325399
Actual,Colorectal cancer,1994,Persons,All ages,"10,343",2,17855000,579.2775133
Actual,Gynaecological cancers,1994,Persons,All ages,"3,896",7,17855000,218.2021843
Actual,Lung cancer,1994,Persons,All ages,"7,680",4,17855000,430.1316158
Actual,Lymphoma,1994,Persons,All ages,"3,115",9,17855000,174.4609353
Actual,Melanoma of the skin,1994,Persons,All ages,"6,949",5,17855000,389.1907029
Actual,Non-Hodgkin lymphoma,1994,Persons,All ages,"2,755",10,17855000,154.2985158
Actual,Prostate cancer,1994,Persons,All ages,"13,100",1,17855000,733.6880426
Actual,Rectal cancer,1994,Persons,All ages,"3,588",8,17855000,200.9521143
Actual,Breast cancer,1995,Persons,All ages,"10,145",3,18072000,561.3656485
Actual,Colon cancer,1995,Persons,All ages,"6,903",6,18072000,381.9721116
Actual,Colorectal cancer,1995,Persons,All ages,"10,585",2,18072000,585.7127047
Actual,Gynaecological cancers,1995,Persons,All ages,"3,706",7,18072000,205.0686144
Actual,Lung cancer,1995,Persons,All ages,"7,560",4,18072000,418.3266932
Actual,Lymphoma,1995,Persons,All ages,"3,206",9,18072000,177.4015051
Actual,Melanoma of the skin,1995,Persons,All ages,"7,483",5,18072000,414.0659584
Actual,Non-Hodgkin lymphoma,1995,Persons,All ages,"2,868",11,18072000,158.6985392
Actual,Prostate cancer,1995,Persons,All ages,"12,418",1,18072000,687.1403276
Actual,Rectal cancer,1995,Persons,All ages,"3,682",8,18072000,203.7405932
Actual,Breast cancer,1996,Persons,All ages,"9,836",3,18311000,537.1634537
Actual,Colon cancer,1996,Persons,All ages,"7,163",6,18311000,391.1856261
Actual,Colorectal cancer,1996,Persons,All ages,"10,941",1,18311000,597.5096936
Actual,Gynaecological cancers,1996,Persons,All ages,"3,661",8,18311000,199.9344656
Actual,Lung cancer,1996,Persons,All ages,"7,803",5,18311000,426.1372945
Actual,Lymphoma,1996,Persons,All ages,"3,442",9,18311000,187.9744416
Actual,Melanoma of the skin,1996,Persons,All ages,"7,837",4,18311000,427.9941019
Actual,Non-Hodgkin lymphoma,1996,Persons,All ages,"3,051",10,18311000,166.6211567
Actual,Prostate cancer,1996,Persons,All ages,"10,359",2,18311000,565.7255202
Actual,Rectal cancer,1996,Persons,All ages,"3,778",7,18311000,206.3240675
Actual,Breast cancer,1997,Persons,All ages,"10,285",2,18517000,555.4355457
Actual,Colon cancer,1997,Persons,All ages,"7,335",6,18517000,396.122482
Actual,Colorectal cancer,1997,Persons,All ages,"11,202",1,18517000,604.9576065
Actual,Gynaecological cancers,1997,Persons,All ages,"3,621",8,18517000,195.5500351
Actual,Lung cancer,1997,Persons,All ages,"8,013",5,18517000,432.7374845
Actual,Lymphoma,1997,Persons,All ages,"3,504",9,18517000,189.231517
Actual,Melanoma of the skin,1997,Persons,All ages,"8,449",4,18517000,456.2834152
Actual,Non-Hodgkin lymphoma,1997,Persons,All ages,"3,107",10,18517000,167.7917589
Actual,Prostate cancer,1997,Persons,All ages,"10,022",3,18517000,541.2323811
Actual,Rectal cancer,1997,Persons,All ages,"3,867",7,18517000,208.8351245
Actual,Breast cancer,1998,Persons,All ages,"10,851",2,18711000,579.9262466
Actual,Colon cancer,1998,Persons,All ages,"7,383",6,18711000,394.5807279
Actual,Colorectal cancer,1998,Persons,All ages,"11,240",1,18711000,600.7161563
Actual,Gynaecological cancers,1998,Persons,All ages,"3,735",8,18711000,199.6151996
Actual,Lung cancer,1998,Persons,All ages,"8,032",4,18711000,429.266207
Actual,Lymphoma,1998,Persons,All ages,"3,500",9,18711000,187.0557426
Actual,Melanoma of the skin,1998,Persons,All ages,"8,000",5,18711000,427.5559831
Actual,Non-Hodgkin lymphoma,1998,Persons,All ages,"3,104",10,18711000,165.8917214
Actual,Prostate cancer,1998,Persons,All ages,"10,146",3,18711000,542.2478756
Actual,Rectal cancer,1998,Persons,All ages,"3,857",7,18711000,206.1354284
Actual,Breast cancer,1999,Persons,All ages,"10,763",2,18926000,568.6885766
Actual,Colon cancer,1999,Persons,All ages,"7,738",6,18926000,408.8555426
Actual,Colorectal cancer,1999,Persons,All ages,"11,754",1,18926000,621.0504068
Actual,Gynaecological cancers,1999,Persons,All ages,"3,735",8,18926000,197.3475642
